 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,1159.226,-0.177
2,0.000,69,69,69,1248.512,0.032
3,0.000,40,40,40,1260.417,0.049
4,0.000,42,42,42,1272.321,0.071
5,0.000,130,130,130,1283.482,0.090
6,0.000,26,26,26,1293.155,0.112
7,0.000,53,53,53,1305.060,0.141
8,0.000,99,99,99,1311.012,0.167
9,0.000,56,56,56,1322.917,0.204
10,0.000,58,58,58,1328.869,0.236
11,0.000,53,53,53,1340.030,0.270
12,0.000,79,79,79,1348.214,0.318
13,0.000,83,83,83,1353.423,0.352
14,0.000,116,116,116,1360.863,0.391
15,0.000,56,56,56,1365.327,0.430
16,0.000,30,30,30,1372.768,0.451
17,0.000,66,66,66,1379.464,0.425
18,0.000,54,54,54,1382.440,0.395
19,0.000,235,235,235,1385.417,0.362
20,0.000,59,59,59,1392.113,0.330
21,0.000,38,38,38,1398.065,0.313
22,0.000,168,168,168,1401.786,0.333
23,0.000,57,57,57,1402.530,0.379
24,0.000,49,49,49,1406.994,0.427
25,0.000,68,68,68,1410.714,0.463
26,0.000,112,112,112,1414.435,0.503
27,0.000,87,87,87,1415.923,0.531
28,0.000,106,106,106,1418.899,0.570
29,0.000,44,44,44,1419.643,0.599
30,0.000,100,100,100,1420.387,0.621
31,0.000,90,90,90,1423.363,0.655
32,0.000,16,16,16,1427.827,0.684
33,0.000,63,63,63,1431.548,0.711
34,0.000,147,147,147,1434.524,0.748
35,0.000,39,39,39,1441.220,0.791
36,0.000,43,43,43,1437.500,0.770
37,0.000,81,81,81,1444.940,0.821
38,0.000,97,97,97,1450.149,0.840
39,0.000,50,50,50,1456.845,0.864
40,0.000,64,64,64,1464.286,0.888
41,0.000,61,61,61,1468.750,0.898
42,0.000,53,53,53,1474.702,0.898
43,0.000,96,96,96,1483.631,0.878
44,0.000,49,49,49,1491.071,0.864
45,0.000,59,59,59,1500.000,0.855
46,0.000,33,33,33,1517.113,0.842
47,0.000,37,37,37,1513.393,0.849
48,0.000,49,49,49,1520.833,0.816
49,0.000,47,47,47,1527.530,0.793
50,0.000,96,96,96,1529.762,0.760
51,0.000,60,60,60,1534.970,0.736
52,0.000,74,74,74,1539.435,0.707
53,0.000,41,41,41,1541.667,0.685
54,0.000,42,42,42,1546.131,0.660
55,0.000,89,89,89,1550.595,0.641
56,0.000,41,41,41,1555.060,0.622
57,0.000,107,107,107,1564.732,0.602
58,0.000,61,61,61,1573.661,0.592
59,0.000,40,40,40,1585.565,0.599
60,0.000,72,72,72,1592.262,0.616
61,0.000,38,38,38,1601.190,0.624
62,0.000,49,49,49,1607.887,0.611
63,0.000,109,109,109,1612.351,0.580
64,0.000,74,74,74,1618.304,0.541
65,0.000,58,58,58,1622.768,0.522
66,0.000,51,51,51,1629.464,0.491
67,0.000,78,78,78,1633.185,0.463
68,0.000,41,41,41,1637.649,0.442
69,0.000,66,66,66,1642.857,0.415
70,0.000,84,84,84,1646.577,0.391
71,0.000,108,108,108,1652.530,0.379
72,0.000,46,46,46,1659.970,0.367
73,0.000,63,63,63,1669.643,0.352
74,0.000,46,46,46,1678.571,0.335
75,0.000,35,35,35,1691.220,0.315
76,0.000,57,57,57,1702.381,0.303
77,0.000,41,41,41,1707.589,0.294
78,0.000,49,49,49,1716.518,0.284
79,0.000,48,48,48,1724.702,0.284
80,0.000,52,52,52,1730.655,0.281
81,0.000,129,129,129,1740.327,0.274
82,0.000,80,80,80,1745.536,0.253
83,0.000,34,34,34,1754.464,0.223
84,0.000,62,62,62,1758.185,0.201
85,0.000,108,108,108,1764.881,0.177
86,0.000,59,59,59,1770.833,0.145
87,0.000,128,128,128,1779.018,0.114
88,0.000,41,41,41,1784.226,0.087
89,0.000,57,57,57,1792.411,0.054
90,0.000,136,136,136,1802.083,0.041
91,0.000,52,52,52,1812.500,0.027
92,0.000,168,168,168,1827.381,0.022
93,0.000,34,34,34,1834.077,0.026
94,0.000,150,150,150,1845.982,0.029
95,0.000,35,35,35,1853.423,0.024
96,0.000,77,77,77,1866.071,0.017
97,0.000,55,55,55,1880.208,0.014
98,0.000,14,14,14,1894.345,0.015
99,0.000,90,90,90,1909.970,0.019
100,0.000,47,47,47,1929.315,0.015
101,0.000,41,41,41,1945.685,0.015
102,0.000,83,83,83,1959.821,0.017
103,0.000,43,43,43,1969.494,0.015
